entity1,entity2,weight,dates
MFMB,Manohar Lal Khattar,1,08-2020
Manohar Lal Khattar,Punjab,12,"08-2020, 09-2020, 10-2020, 11-2020, 12-2020"
Kurukshetra,Manohar Lal Khattar,4,"08-2020, 09-2020, 10-2020"
Haryana Charuni,Manohar Lal Khattar,1,08-2020
Manohar Lal Khattar,Rakesh Kumar Bains,2,"08-2020, 09-2020"
Manohar Lal Khattar,Rakesh,1,08-2020
Charuni,Manohar Lal Khattar,4,"01-2021, 08-2020, 09-2020, 10-2020"
Haryana State Agricultural Marketing Board,Manohar Lal Khattar,1,08-2020
Bharatiya Kisan Union,Manohar Lal Khattar,3,"01-2021, 08-2020, 09-2020"
BKU,Manohar Lal Khattar,8,"01-2021, 08-2020, 09-2020, 10-2020, 11-2020, 12-2020"
HSAMB,Haryana,1,08-2020
HSAMB,MFMB,1,08-2020
HSAMB,Punjab,1,08-2020
HSAMB,Kurukshetra,1,08-2020
HSAMB,Haryana Charuni,1,08-2020
HSAMB,Rakesh Kumar Bains,1,08-2020
HSAMB,Rakesh,1,08-2020
Charuni,HSAMB,1,08-2020
HSAMB,Haryana State Agricultural Marketing Board,1,08-2020
Bharatiya Kisan Union,HSAMB,1,08-2020
BKU,HSAMB,1,08-2020
Haryana,MFMB,1,08-2020
Haryana,Punjab,153,"01-2021, 08-2020, 09-2020, 10-2020, 11-2020, 12-2020"
Haryana,Kurukshetra,15,"01-2021, 08-2020, 09-2020, 10-2020, 11-2020, 12-2020"
Haryana,Haryana Charuni,1,08-2020
Haryana,Rakesh Kumar Bains,6,"08-2020, 09-2020"
Haryana,Rakesh,1,08-2020
Charuni,Haryana,10,"01-2021, 08-2020, 09-2020, 10-2020, 11-2020, 12-2020"
Haryana,Haryana State Agricultural Marketing Board,1,08-2020
Bharatiya Kisan Union,Haryana,17,"01-2021, 08-2020, 09-2020, 11-2020, 12-2020"
BKU,Haryana,35,"01-2021, 08-2020, 09-2020, 10-2020, 11-2020, 12-2020"
MFMB,Punjab,1,08-2020
Kurukshetra,MFMB,1,08-2020
Haryana Charuni,MFMB,1,08-2020
MFMB,Rakesh Kumar Bains,1,08-2020
MFMB,Rakesh,1,08-2020
Charuni,MFMB,1,08-2020
Haryana State Agricultural Marketing Board,MFMB,1,08-2020
Bharatiya Kisan Union,MFMB,1,08-2020
BKU,MFMB,1,08-2020
Kurukshetra,Punjab,4,"08-2020, 09-2020, 10-2020, 12-2020"
Haryana Charuni,Punjab,1,08-2020
Punjab,Rakesh Kumar Bains,1,08-2020
Punjab,Rakesh,1,08-2020
Charuni,Punjab,2,"08-2020, 11-2020"
Haryana State Agricultural Marketing Board,Punjab,1,08-2020
Bharatiya Kisan Union,Punjab,11,"01-2021, 08-2020, 11-2020"
BKU,Punjab,46,"01-2021, 08-2020, 09-2020, 10-2020, 11-2020, 12-2020"
Haryana Charuni,Kurukshetra,1,08-2020
Kurukshetra,Rakesh Kumar Bains,3,"08-2020, 09-2020"
Kurukshetra,Rakesh,1,08-2020
Charuni,Kurukshetra,3,"08-2020, 09-2020, 10-2020"
Haryana State Agricultural Marketing Board,Kurukshetra,1,08-2020
Bharatiya Kisan Union,Kurukshetra,3,"01-2021, 08-2020, 09-2020"
BKU,Kurukshetra,6,"08-2020, 09-2020, 10-2020"
Haryana Charuni,Rakesh Kumar Bains,1,08-2020
Haryana Charuni,Rakesh,1,08-2020
Charuni,Haryana Charuni,1,08-2020
Haryana Charuni,Haryana State Agricultural Marketing Board,1,08-2020
Bharatiya Kisan Union,Haryana Charuni,1,08-2020
BKU,Haryana Charuni,1,08-2020
Rakesh,Rakesh Kumar Bains,1,08-2020
Charuni,Rakesh Kumar Bains,5,"08-2020, 09-2020"
Haryana State Agricultural Marketing Board,Rakesh Kumar Bains,1,08-2020
Bharatiya Kisan Union,Rakesh Kumar Bains,4,"08-2020, 09-2020"
BKU,Rakesh Kumar Bains,5,"08-2020, 09-2020"
Charuni,Rakesh,1,08-2020
Haryana State Agricultural Marketing Board,Rakesh,1,08-2020
Bharatiya Kisan Union,Rakesh,1,08-2020
BKU,Rakesh,1,08-2020
Charuni,Haryana State Agricultural Marketing Board,1,08-2020
Bharatiya Kisan Union,Charuni,6,"01-2021, 08-2020, 09-2020, 12-2020"
BKU,Charuni,9,"01-2021, 08-2020, 09-2020, 10-2020, 11-2020"
Bharatiya Kisan Union,Haryana State Agricultural Marketing Board,1,08-2020
BKU,Haryana State Agricultural Marketing Board,1,08-2020
BKU,Bharatiya Kisan Union,37,"01-2021, 08-2020, 09-2020, 11-2020, 12-2020"
Hemant Sikka,Mahindra,1,08-2020
Chennai,Mahindra,1,08-2020
Mahindra,Mahindra Tractors,1,08-2020
Mahindra,Rabi,1,08-2020
Mahindra,Mahindra,1,08-2020
